Book Title,Book Category,Argomenti,Book Title,Author,Seller,Author,Price,Price,Price,Price,Other,Country,Other,Other,Book Description,Author,Seller,Date of publication,Pages,Code/ID,Date of publication,Author
Cuore nero - Silvia Avallone - Libro - Rizzoli - Scala italiani | Feltrinelli,Narrativa italiana,Moderna e contemporanea (dopo il 1945),Cuore nero,Silvia Avallone,Rizzoli,Silvia Avallone,,"19,00 €","20,00 €",190.0,55,Italia,Tutte le offerte (1),Nuovo (1),"Con l’amore che solo i grandi autori sanno dedicare ai propri personaggi, Silvia Avallone ha scritto il suo romanzo più maturo, una storia di condanna e di salvezza che indaga le crepe più buie e profonde dell’anima per riempirle di compassione, di vita e di luce.",Silvia Avallone,Scala italiani,23 gennaio 2024,"368 p., Brossura",9788817184601.0,"1984, Biella","Silvia Avallone è nata a Biella nel 1984. Trascorre tutte le estati della giovinezza a Piombino, da suo padre: questo crea un rapporto speciale tra lei e la città toscana, protagonista del suo romanzo più noto, Acciaio.Vive a Bologna, dove si è laureata in Filosofia e specializzata in Filologia moderna con una tesi su La Storia di Elsa Morante. Collabora inoltre con il Corriere della Sera, La lettura e 7, dove scrive mensilmente all’interno della rubrica 4 per 7.Nel 2007 ha pubblicato la raccolta di poesia Il libro dei vent’anni, vincitrice del Premio internazionale di poesia Alfonso Gatto sezione giovani. Sue poesie e racconti sono apparsi su Granta, Nuovi Argomenti e Vanity Fair.Con il suo romanzo d’esordio Acciaio (Rizzoli, 2010) ha vinto il..."
Fragili scintille - Francesca Ventura - Libro - Garzanti - Narratori moderni | Feltrinelli,Narrativa erotica e rosa,Rosa,Fragili scintille,Francesca Ventura,Garzanti,Francesca Ventura,,"16,06 €","16,90 €",160.0,13,,Tutte le offerte (1),Nuovo (1),,,,,,,,
Reminders of him. La parte migliore di te - Colleen Hoover - Libro - Sperling & Kupfer - Pandora | Feltrinelli,Narrativa erotica e rosa,Rosa,Reminders of him. La parte migliore di te,Colleen Hoover,Sperling & Kupfer,Colleen Hoover,"(Altri 12 da 16,00 €)","16,06 €","16,90 €",160.0,59,Stati Uniti d'America,Tutte le offerte (13),Nuovo (13),"La storia straziante ma piena di speranza di una giovane madre alla disperata ricerca di redenzione, dall'autrice Colleen Hoover, bestseller numero 1 del New York Times.",Colleen Hoover,Pandora,9 gennaio 2024,"336 p., Rilegato",9788820075477.0,"1979, Sulphur Springs (Texas)","Colleen Hoover (Sulphur Springs, 1979) vive in Texas con il marito e i figli. Nel 2015 ha fondato con la sua famiglia The Bookworm Box: una libreria e al tempo stesso un servizio di abbonamento mensile che offre libri autografati e donati dagli scrittori, il cui ricavato viene devoluto in beneficenza a diverse associazioni ed enti. È autrice bestseller del “New York Times” con i romanzi Tutto ciò che sappiamo dell’amore (Rizzoli, 2013) e il seguito Tutto ciò che sappiamo di noi due (Fabbri, 2015). Fra gli altri suoi libri ricordiamo: Le sintonie dell'amore (Leggereditore, 2014), Forse un giorno (ONE, 2017), Le confessioni del cuore (Leggereditore, 2016), Un ricordo ti parlerà di noi (Sperling & Kupfer,..."
La banalità del male. Eichmann a Gerusalemme. Nuova ediz. - Hannah Arendt - Libro - Feltrinelli - Universale economica. Saggi | Feltrinelli,"Società, politica e comunicazione",Politica e governo,La banalità del male. Eichmann a Gerusalemme. Nuova ediz.,Hannah Arendt,,Hannah Arendt,"(Altri 15 da 12,35 €)","12,35 €","13,00 €",120.0,94,,Tutte le offerte (16),Nuovo (16),"A sessant’anni dalla pubblicazione, uno dei libri più importanti del Ventesimo secolo torna con una nuova prefazione di Ezio Mauro.",Hannah Arendt,Universale economica. Saggi,4 aprile 2023,"368 p., Brossura",9788807897450.0,"1906, Linden (Germania)","Filosofa tedesca. Formatasi nelle università di Marburgo, Friburgo e Heidelberg, ebbe come maestri Heidegger, R. Bultmann e K. Jaspers.Di origini ebraiche, nel 1933 emigrò in Francia, per poi trasferirsi negli Stati Uniti nel 1940.I suoi principali interessi si sono orientati sull’agire politico, inteso come dimensione pubblica dell’esistenza umana.In 'Le origini del totalitarismo' (1951), la Arendt ricostruisce il processo storicoche ha condotto alle dittature europee e alla seconda guerra mondiale; i momenti decisivi di tale processo (antisemitismo, imperialismo e trasformazione plebiscitaria delle democrazie) sono interpretati come effetti di una complessiva de-politicizzazione della cultura moderna.'Vita activa' (1958) propone l’e1aborazione in termini filosofici..."
Day - Michael Cunningham - Libro - La nave di Teseo - Oceani | Feltrinelli,Narrativa straniera,Moderna e contemporanea (dopo il 1945),Day,Michael Cunningham,La nave di Teseo,Michael Cunningham,,"20,90 €","22,00 €",210.0,12,Stati Uniti d'America,Tutte le offerte (1),Nuovo (1),"Un libro che attraversa il tempo nella storia di una famiglia, come nel suo capolavoro  Le ore  , premiato con i più prestigiosi riconoscimenti e tradotto in trenta lingue. Un romanzo sui cambiamenti imprevedibili delle nostre esistenze, sull’amore e la perdita, sulla forza inesauribile dei legami familiari.",Michael Cunningham,Oceani,30 gennaio 2024,"320 p., Brossura",9788834616475.0,"1952, Cincinnati","Michael Cunningham è uno scrittore statunitense. È cresciuto a Los Angeles e vive a New York. Per Bompiani sono usciti: Le ore (1999), tradotto in circa trenta lingue e vincitore del Premio Pulitzer per la Narrativa, del Pen/Faulkner Award e del Premio Grinzane Cavour 2000 per la Sezione Narrativa Straniera, Carne e sangue (2000), per il quale ha ricevuto il Whiting Writer's Award, Una casa alla fine del mondo (2001), Mr Brother (2002), Dove la terra finisce (2003), Giorni memorabili (2005), Al limite della notte (2010), La regina delle nevi (2014).Dal romanzo Le ore è stato tratto il celebre film interpretato da Meryl Streep, Nicole Kidman e Julianne Moore, mentre da Una casa alla fine del mondo è stata realizzata una versione cinematografica diretta da Michael..."
Amore senza fine. Love me love me. Vol. 3 - Stefania S. - Libro - Sperling & Kupfer - Paperback | Feltrinelli,Narrativa erotica e rosa,Rosa,Amore senza fine. Love me love me. Vol. 3,Stefania S.,,Stefania S.,,"14,25 €","15,00 €",140.0,109,,Tutte le offerte (1),Nuovo (1),"Finalmente in libreria l'attesissimo capitolo finale della serie bestseller  Love me love me  , nata su Wattpad, divenuta un fenomeno del #booktok, ora un caso editoriale da oltre 100.000 copie vendute.",Stefania S.,Paperback,06 febbraio 2024,"672 p., Brossura",9788855441865.0,,"Stefania S. è un'autrice italiana. Si definisce un'amante della musica, delle serie TV e dei viaggi in giro per il mondo. Dal 2023 esce per Sperling & Kupfer la serie Love me love me."
Solo la speranza lenisce il dolore - Simone Veil - Libro - Corbaccio - Saggi | Feltrinelli,Biografie,Biografie e autobiografie,Solo la speranza lenisce il dolore,Simone Veil,Corbaccio,Simone Veil,,"17,10 €","18,00 €",170.0,2,,Tutte le offerte (1),Nuovo (1),,,,,,,,
Alma - Federica Manzon - Libro - Feltrinelli - I narratori | Feltrinelli,Narrativa italiana,Moderna e contemporanea (dopo il 1945),Alma,Federica Manzon,Feltrinelli,Federica Manzon,"(Altri 9 da 17,10 €)","17,10 €","18,00 €",170.0,64,Italia,Tutte le offerte (10),Nuovo (10),"Federica Manzon scrive un romanzo dove l’identità, la memoria e la Storia – personale, familiare, dei Paesi – si cercano e si sfuggono continuamente, facendo di Trieste un punto di vista da cui guardare i nostri difficili tentativi di capire chi siamo e dov’è la nostra casa.",Federica Manzon,I narratori,16 gennaio 2024,"272 p., Brossura",9788807035784.0,"1981, Pordenone","Federica Manzon è un'autrice italiana. Collabora con l'organizzazione del festival letterario Pordenonelegge ed è redattrice di «Nuovi Argomenti». Tra i suoi titolo, Come si dice addio (Mondadori, 2008), Di fama e di sventura (Mondadori, 2011), libro finalista al premio Campiello, La nostalgia degli altri (Feltrinelli, 2017), Il bosco del confine (Aboca, 2020) e Alma (Feltrinelli, 2024)."
Marabbecca - Viola Di Grado - Libro - La nave di Teseo - Oceani | Feltrinelli,Narrativa italiana,Moderna e contemporanea (dopo il 1945),Marabbecca,Viola Di Grado,La nave di Teseo,Viola Di Grado,"(Altri 11 da 18,05 €)","18,05 €","19,00 €",,18,Italia,,,"Ambientato in una Sicilia asfittica e mitologica, solcata da cieli accecanti e ceneri nere, Marabbecca è un romanzo visionario che pone domande cruciali sull'identità: su cosa significa dire “io” e sulle collisioni con l'altro che in qualche modo raccontano chi siamo davvero.   Come la Marabbecca, personificazione nel folklore siciliano dell'oscurità e delle insidie dell'inconscio, leggendo ci si muove in un buio sfavillante, illuminati solo dalla luce lunare della scrittura, fino al vertiginoso finale.",Viola Di Grado,Oceani,12 gennaio 2024,"208 p., Brossura",9788834616451.0,"1987, Catania","Viola Di Grado è figlia di Antonio Di Grado, italianista e uno dei massimi studiosi di Sciascia e De Roberto, e di Elvira Seminara, scrittrice. Si è laureata in lingue orientali a Torino. È stata in Erasmus a Leeds. Ha viaggiato in Cina e Giappone specializzandosi in filosofia cinese a Londra. Il suo primo romanzo Settanta acrilico trenta lana è stato pubblicato da e/o nel 2011. Ha tradotto opere di autrici come Joyce Carol Oates, Jami Attenberg e Anne Boyer. Tra le sue pubblicazioni ricordiamo anche: Cuore cavo (E/O 2013); Fuoco al cielo (La Nave di Teseo 2019); Fame blu (La Nave di Teseo 2022) e Marabbecca (La Nave di Teseo 2024)."
Circe - Madeline Miller - Libro - Marsilio - Universale economica Feltrinelli | Feltrinelli,Narrativa straniera,Di argomento mitologico,Circe,Madeline Miller,,Madeline Miller,"(Altri 20 da 12,00 €)","12,35 €","13,00 €",120.0,2060,Stati Uniti d'America,Tutte le offerte (21),Nuovo (21),"Poggiando su una solida conoscenza delle fonti e su una profonda comprensione dello spirito greco, Madeline Miller fa rivivere una delle figure più conturbanti del mito e ci regala uno sguardo originale sulle grandi storie dell'antichità.",Madeline Miller,Universale economica Feltrinelli,14 gennaio 2021,"416 p., Brossura",9788829705320.0,"1978, Boston","Ha un dottorato in lettere classiche alla Brown University e ha insegnato drammaturgia e adattamento teatrale dei testi antichi a Yale. Il suo primo romanzo, La canzone di Achille (Sonzogno, 2013), è stato un successo internazionale, ha vinto l’Orange Prize ed è stato tradotto in venticinque lingue. Pubblicato negli Stati Uniti e nel Regno Unito nel 2018, Circe (Sonzogno, 2019) ha scalato le classifiche dei libri più venduti del New York Times e del Sunday Times ed è stato “libro dell’anno” per le principali riviste letterarie americane."
I baffi - Emmanuel Carrère - Libro - Adelphi - Fabula | Feltrinelli,Narrativa straniera,Moderna e contemporanea (dopo il 1945),I baffi,Emmanuel Carrère,,Emmanuel Carrère,"(Altri 10 da 13,60 €)","13,60 €","17,00 €",140.0,890,Francia,Tutte le offerte (11),Nuovo (11),"«Di certi autori capita che non si legga subito la loro primissima produzione. Magari è uscita in sordina, magari il loro è un successo venuto in un secondo tempo. È successo più o meno lo stesso con Emmanuel Carrère. Ma le 150 pagine di  I baffi  s’impongono a una lettura avida e ininterrotta sin dalla prima pagina.» - Teresa Bellemo  RivistaStudio",Emmanuel Carrère,Fabula,27 febbraio 2020,"149 p., Brossura",9788845934599.0,"1957, Parigi","Emmanuel Carrère è scrittore, regista e sceneggiatore francese.Laureato all'Istituto di Studi Politici di Parigi, è figlio di Louis Carrère e della sovietologa e accademica Hélène Carrère d'Encausse figlia di immigrati georgiani che fuggirono la Rivoluzione russa.I suoi esordi sono stati nella critica cineatografica, per «Positif» e «Télérama». Il suo primo libro, Werner Herzog, un saggio, è stato pubblicato nel 1982. Il suo esordio come romanziere risale invece al 1983: è L'amico del giaguaro, pubblicato da Flammarion. Il successivo Bravura (1984, in Italia pubblicato nel 1991 da Marcos y Marcos), invece, è stato pubblicato da POL, editore con il quale da allora non ha più interrotto..."
Innamorarsi di Anna Karenina il sabato sera. L'arte di leggere i classici in dieci brevi lezioni - Guendalina Middei - Libro - Feltrinelli - Scintille | Feltrinelli,"Classici, poesia, teatro e critica",Storia e critica,Innamorarsi di Anna Karenina il sabato sera. L'arte di leggere i classici in dieci brevi lezioni,Guendalina Middei,Feltrinelli,Guendalina Middei,"(Altri 8 da 15,20 €)","15,20 €","16,00 €",150.0,41,Italia,Tutte le offerte (9),Nuovo (9),"Chiunque ami il gusto di letture che non smettono di sorprendere per la loro ricchezza troverà in questo libro suggestioni preziose per accostarle e lasciare che ci parlino, superando con piccoli stratagemmi le difficoltà che pongono.",Guendalina Middei,Scintille,16 gennaio 2024,"208 p., Brossura",9788807174353.0,"1992, Roma","Guendalina Middei é un'autrice italiana. Nata a Roma nel 1992, ha scritto per diversi giornali e riviste tra cui “Critica Letteraria” e “Culturificio” e “Sintesi Dialettica”. Tra i suoi titoli, Clodio (Navarra Editore, 2022), Intervista con un matto (Navarra Editore, 2023) e Innamorarsi di Anna Karenina il sabato sera. L'arte di leggere i classici in dieci brevi lezioni (Feltrinelli, 2024)."
Se solo il mio cuore fosse pietra - Titti Marrone - Libro - Feltrinelli - I narratori | Feltrinelli,Narrativa italiana,Di ambientazione storica,Se solo il mio cuore fosse pietra,Titti Marrone,,Titti Marrone,"(Altri 7 da 16,51 €)","16,62 €","17,50 €",170.0,64,,Tutte le offerte (8),Nuovo (8),"Libro vincitore del Premio Croce 2023, del Premio Sereni, giuria popolare sezione editi 2022 e del Premio Napoli - Narrativa 2022. Finalista al Premio Alassio Centolibri-Un autore per l'Europa 2022",Titti Marrone,I narratori,20 gennaio 2022,240 p.,9788807034794.0,,"Giornalista. Ha scritto sul 'Mattino' di Napoli dal 1980 al 2012, poi sull'Huffington Post. Si è occupata di teatro, storia delle idee, letteratura e politica, ha insegnato dal 1996 all’Università storia e tecniche del giornalismo. Negli anni Ottanta la sua ricerca si è focalizzata sulla storia del Mezzogiorno (Riforma agraria e questione meridionale, De Donato 1981). Ha scritto inoltre: Il mestiere di regista teatrale (Marcon 1992); Controluce (Pironti 1995) insieme a Gustaw Herling; Il sindaco (Rizzoli 1996); Meglio non sapere (ultima edizione Laterza 2013). Con Mondadori ha pubblicato Il tessitore di vite e Questo bimbo a chi lo do (2013). Nel 2019 ha pubblicato La donna capovolta (Iacobellieditore) e nel 2022 Se solo il mio..."
