Book Title,Book Title,Price,Price,Author,Publisher,Price,Price,Book Title,Book Title,Book Description,Price,Publisher,Category,Book type,Other,Dimensions,Code/ID,Author,Author,Author,Book Title,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
"Pirati, corsari e filibustieri | Alain Blondy | Giunti Editore","Pirati, corsari e filibustieri","€16,06","€16,90",Alain Blondy,,"€16,06","€16,90","Diminuisci quantità per Pirati, corsari e filibustieri::Tanti codici, un solo onore","Aumenta quantità per Pirati, corsari e filibustieri::Tanti codici, un solo onore","Barbanera è senza dubbio il più famoso, Anne Bonny la più affascinante e Jack Sparrow il più sexy (e il meno reale!), ma cosa sappiamo veramente dei pirati? Sebbene sia storicamente provato che abbiano dominato i Caraibi nel XVIII secolo, le loro vicende non si riassumono certo in  cliché  dal sapore hollywoodiano. L’immagine egualitaria, persino libertaria, dei “signori del mare” che nei secoli successivi valse loro una simpatia non dissimulata ha tuttavia un suo fondamento storico, che consiste nel disprezzo delle leggi “borghesi” e ingiuste, nel gusto di rubare ai ricchi, nell’etica del codice d’onore.
Fin dall’antichità il mondo marittimo è uno spazio dove vige la legge del più forte, dove la violenza e l’astuzia per raggiungere il proprio scopo sono legittimate. Presto però una forma di collaborazione si afferma tra questi banditi e il potere politico ed è così che si sviluppa la pirateria. A partire dal Medioevo è la volta della guerra di corsa e dei corsari, i famosi “pirati di stato” autorizzati a saccheggiare e attaccare le navi nemiche. Con le grandi scoperte geografiche incontriamo, soprattutto nei Caraibi, il filibustiere, sapiente mix tra il pirata e il corsaro. 
In questa grande, completa e unica sintesi, 
Alain Blondy ripercorre magistralmente le tracce di ammiragli e semplici mozzi evidenziando l’unicità di tale fenomeno storico. Attraverso razzie, attacchi navali e saccheggi, ci accompagna nelle epoche e tra i popoli, in un viaggio dal Mediterraneo all’oceano Pacifico, passando per i mari del Nord, che non finirà di stupire.","Default Title - €16,90",,STORIA E STORIE,Brossura con bandelle,336.0,"14.0 x
    
  
    
      21.5
    
  
  cm",9788809974234.0,Alain Blondy,Alain Blondy,Alain Blondy: biografia e libri in vendita | Giunti Editore,"Scopri tutti i libri di Alain Blondy. Consulta il catalogo dell'autore, ordina online o trova una copia nella libreria più vicina a te.",,Fascismo e populismo - COPIA AUTOGRAFATA,Antonio Scurati,"€11,40","€12,00",Madre patria - COPIA AUTOGRAFATA,Vittorio Emanuele Parsi,"€16,15","€17,00",Il cammino di un popolo,"€38,00","€40,00"
Come un fiore di ciliegio nel vento | Etsu Inagaki Sugimoto | Giunti Editore,Come un fiore di ciliegio nel vento,"€17,10","€18,00",Etsu Inagaki Sugimoto,,"€17,10","€18,00",Diminuisci quantità per Come un fiore di ciliegio nel vento,Aumenta quantità per Come un fiore di ciliegio nel vento,"Pubblicato per la prima volta a New York nel 1925 e diventato subito un bestseller internazionale, questo libro è il racconto in prima persona della vita di Etsu Inagaki Sugimoto, la figlia minore di un samurai di alto rango, che vive sulla sua pelle il passaggio tra il Giappone feudale del XIX secolo e la potente modernità americana del primo Novecento.
Nata nella città di Nagaoka, nel nord del paese, Etsu riceve una rigida educazione, improntata ai principi dei nobili guerrieri samurai, ma il destino ha in serbo per lei tutt’altro: in seguito alla morte improvvisa del padre, la ragazza viene promessa in sposa a Matsuo, un amico del fratello, che vive negli Stati Uniti. Sarà solo l’inizio del suo viaggio nel Nuovo Mondo e dentro se stessa, un viaggio ricco di momenti belli e difficili come solo la vita sa essere.
Forte della sua identità e delle sue convinzioni, tra i ricordi magici dell’infanzia in Giappone e l’incontro dirompente con la realtà occidentale, che la sospinge verso nuovi orizzonti, la giovane donna cresce, impara e ama con coraggio.
Più di un  memoir  , più di una saga familiare, la vicenda di Etsu, leggera e forte come un fiore di ciliegio nel vento, è una bellissima storia di formazione al femminile che non smette di appassionare e commuovere.","Default Title - €18,00",,VARIA BIOGRAFIE,Brossura con bandelle,312.0,"14.0 x
    
  
    
      21.5
    
  
  cm",9788809971684.0,,,,,,,,,,,,,,,,
Superalbum dei dinosauri | Martina Boschi | Giunti Editore,Superalbum dei dinosauri,,,Martina Boschi,,,,Diminuisci quantità per Superalbum dei dinosauri,Aumenta quantità per Superalbum dei dinosauri,,,,ACTIVITY,,12.0,"21.5 x
    
  
    
      28.0
    
  
  cm",,Martina Boschi,Martina Boschi,Martina Boschi: biografia e libri in vendita | Giunti Editore,"Scopri tutti i libri di Martina Boschi. Consulta il catalogo dell'autore, ordina online o trova una copia nella libreria più vicina a te.",,Il libro pop-up della natura,Sylvie Baussier,"€21,76","€22,90",Metamorfosi - Lettera al padre,Franz Kafka,"€7,13","€7,50",Buonanotte,"€7,51","€7,90"
Cosimo I dei Medici | Eugenio Giani | Giunti Editore,Cosimo I dei Medici,"€15,20","€16,00",Eugenio Giani,,"€15,20","€16,00",Diminuisci quantità per Cosimo I dei Medici::Il padre della Toscana moderna,Aumenta quantità per Cosimo I dei Medici::Il padre della Toscana moderna,"Una storia di genio e bellezza, ma anche di intrighi e sventure: ingredienti che hanno caratterizzato la vicenda biografica della famiglia dei Medici, signori di Firenze, e l’intero Rinascimento. Figura centrale di questo periodo fondamentale nella storia e nella cultura europee è Cosimo I (Firenze 1519-1574), primo granduca di Toscana e artefice della sua trasformazione in Stato. L’autore, in questo libro, ne ripercorre la vita e le imprese di governo, il rapporto con le arti e ne evidenzia soprattutto la dimensione di legislatore e statista capace di portare quella che fino allora era stata una piccola potenza regionale al livello delle corti e delle grandi nazioni del Cinquecento.","Default Title - €16,00",,VARIA ARTE,Brossura con bandelle,0.0,"15.0 x
    
  
    
      20.0
    
  
  cm",9788809919853.0,,,,,,Metamorfosi - Lettera al padre,Franz Kafka,"€7,13","€7,50",Delitti a Fleet House,Lucinda Riley,"€12,35","€13,00",Bambini lupo,"€17,01","€17,90"
Liberati dai pensieri ossessivi e dalle compulsioni | Klaus Bernhardt | Giunti Editore,Liberati dai pensieri ossessivi e dalle compulsioni,"€16,06","€16,90",Klaus Bernhardt,Demetra,"€16,06","€16,90","Diminuisci quantità per Liberati dai pensieri ossessivi e dalle compulsioni::Come superare i rituali, i tic e le piccole manie che ti ingabbiano la mente","Aumenta quantità per Liberati dai pensieri ossessivi e dalle compulsioni::Come superare i rituali, i tic e le piccole manie che ti ingabbiano la mente","L'ansia è un problema molto diffuso, che riguarda anche gli adolescenti, e quando non arriva a provocare attacchi di panico, può sfociare in disturbi ossessivi compulsivi, assai più comuni di quanto si possa pensare. Questo libro offre un metodo concreto per risolvere gli stati d’ansia profonda che sfociano in comportamenti ossessivo compulsivi (tic, rituali, piccole manie...) nei casi in cui non ci sia una patologia grave, che resta di ambito psichiatrico. Sono tante, infatti, le persone borderline che mettono in atto abitudini ripetitive, che seguono rituali o riti scaramantici per contenere stati ansiosi altrimenti insopportabili e non sanno che esistono tecniche di autoterapia per liberarsi da queste gabbie mentali.","Default Title - €16,90",Demetra,PENSARE POSITIVO,Brossura con bandelle,304.0,"14.0 x
    
  
    
      21.5
    
  
  cm",9788844075422.0,Klaus Bernhardt,Klaus Bernhardt,Klaus Bernhardt: biografia e libri in vendita | Giunti Editore,"Scopri tutti i libri di Klaus Bernhardt. Consulta il catalogo dell'autore, ordina online o trova una copia nella libreria più vicina a te.",,,,,,,,,,,,
Metamorfosi - Lettera al padre | Franz Kafka | Giunti Editore,Metamorfosi - Lettera al padre,"€7,13","€7,50",Franz Kafka,Giunti Barbera,"€7,13","€7,50",Diminuisci quantità per Metamorfosi - Lettera al padre,Aumenta quantità per Metamorfosi - Lettera al padre,"Massimo Morasso rilegge in 10 parole chiave i due capolavori del grande scrittore tedesco (1882-1924) nel centenario della morte: Estraneità, Inadeguatezza, Inettitudine, Disperanza, Emarginazione, Invidia, Gelosia, Crudeltà, Vergogna, Vendetta. Secondo il poeta e filosofo, il sentimento della colpa è quanto accomuna lo scarafaggio-Gregor a Franz-figlio: in una identica messa in scena dell’estraneità e della crudeltà, entrambi vivono una stessa realtà di dipendenza dagli altri, fra parassitismo ed emarginazione. Sconfitto, corroso, non per scelta ma per necessità storica, Kafka nella sua opera racconta cosa resta dell’uomo una volta abolito il legame con il Trascendente e la Tradizione. E ci dice che non resta nulla.","Default Title - €7,50",Giunti Barbera,PASSEPARTOUT,Brossura,160.0,"12.5 x
    
  
    
      19.5
    
  
  cm",9788809920583.0,Franz Kafka,Franz Kafka,Franz Kafka: biografia e libri in vendita | Giunti Editore,"Scopri tutti i libri di Franz Kafka. Consulta il catalogo dell'autore, ordina online o trova una copia nella libreria più vicina a te.","Aggiungi   Sold out!                 Tutti i romanzi   Tutti i romanzi      Franz Kafka   Franz Kafka        € 65,00   € 61,75        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 La metamorfosi. Lettera al padre   La metamorfosi. Lettera al padre      Franz Kafka   Franz Kafka        € 6,50   € 6,18        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 La metamorfosi. Lettera al padre   La metamorfosi. Lettera al padre      Franz Kafka   Franz Kafka        € 5,90   € 5,61        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 Il processo   Il processo      Franz Kafka   Franz Kafka        € 5,90   € 5,61        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 La metamorfosi. Lettera al padre   La metamorfosi. Lettera al padre      Franz Kafka   Franz Kafka        € 6,00   € 5,70        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 Il processo   Il processo      Franz Kafka   Franz Kafka        € 6,90   € 6,56        -5%   IN OFFERTA   OUTLET                                         Non Disponibile   Sold out!                 La metamorfosi. Lettera al padre   La metamorfosi. Lettera al padre      Franz Kafka   Franz Kafka        € 6,50   € 6,18        -5%   IN OFFERTA   OUTLET",Cosimo I dei Medici,Eugenio Giani,"€15,20","€16,00",Delitti a Fleet House,Lucinda Riley,"€12,35","€13,00",Bambini lupo,"€17,01","€17,90"
Gorjuss. Albo magico. Teneri cuccioli | Lisa Capiotto | Giunti Editore,Gorjuss. Albo magico. Teneri cuccioli,,,Lisa Capiotto,Pon Pon Edizioni,,,Diminuisci quantità per Gorjuss. Albo magico. Teneri cuccioli,Aumenta quantità per Gorjuss. Albo magico. Teneri cuccioli,"Colora i tenerissimi cuccioli delle ragazze Gorjuss con il magico pennarello svelacolori. È sicuro, atossico e non macchia. Il divertimento continua con il set da scrivania in regalo: sono inclusi nella confezione segnalibri, righello e portapenne da ritagliare. Dimensioni 25,5 x 34,8 cm.",,Pon Pon Edizioni,GORJUSS,,0.0,"25.8 x
    
  
    
      34.5
    
  
  cm",9788893304962.0,Lisa Capiotto,Lisa Capiotto,Lisa Capiotto: biografia e libri in vendita | Giunti Editore,"Scopri tutti i libri di Lisa Capiotto. Consulta il catalogo dell'autore, ordina online o trova una copia nella libreria più vicina a te.",,Peppa Pig. Natale con Peppa. Shopper bag,,"€12,26","€12,90",PERA TOONS. Il libro delle risposte,Toons Pera,"€14,16","€14,90",Cry Babies. I colorelli. Valigetta con acquerelli,"€9,41","€9,90"
Poesie d'amore | Emily Dickinson | Giunti Editore,Poesie d'amore,"€7,13","€7,50",Emily Dickinson,Giunti Barbera,"€7,13","€7,50",Diminuisci quantità per Poesie d'amore,Aumenta quantità per Poesie d'amore,"Franco Buffoni introduce in 10 parole chiave le più belle poesie di Emily Dickinson (1830-1886): Amore, Libro, Bibbia, Traduzione, Realtà, Congiunzione, Estasi, Rivelazione, Viaggio, Mistero. Secondo il poeta e professore emerito di Lingua e Letteratura inglese nella vita di solitudine e autoreclusione che condusse, un erotismo da Cantico dei Cantici prorompe dai suoi versi, stordendo quasi il lettore. Il più grande poeta americano dell’Ottocento era una donna molto intelligente e sensibile, capace di una poesia mai pacificante e pacificatrice, che comunica sempre asprezza, ansietà e disagio. La sua via all’estasi è costruita sul linguaggio della secchezza, asperità e brevità in una vera e propria modulazione del grido.","Default Title - €7,50",Giunti Barbera,PASSEPARTOUT,Brossura,256.0,"12.5 x
    
  
    
      19.5
    
  
  cm",9788809920576.0,Emily Dickinson,Emily Dickinson,Emily Dickinson: biografia e libri in vendita | Giunti Editore,"Scopri tutti i libri di Emily Dickinson. Consulta il catalogo dell'autore, ordina online o trova una copia nella libreria più vicina a te.","Aggiungi   Sold out!                 Poesie d'amore   Poesie d'amore      Emily Dickinson   Emily Dickinson        € 10,00   € 9,50        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Poesie   Poesie      Emily Dickinson   Emily Dickinson        € 6,50   € 6,18        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 Poesie   Poesie      Emily Dickinson   Emily Dickinson        € 5,90   € 5,61        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 Poems   Poems      Emily Dickinson   Emily Dickinson        € 7,00   € 6,65        -5%   IN OFFERTA   OUTLET                                         Non Disponibile   Sold out!                 Poesie   Poesie      Emily Dickinson   Emily Dickinson        € 6,00   € 5,70        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 Non c'è nave che possa come un lib...   Non c'è nave che possa come un libro      Emily Dickinson   Emily Dickinson        € 12,00   € 11,40        -5%   IN OFFERTA   OUTLET                                         Non Disponibile   Sold out!                 Poesie   Poesie      Emily Dickinson   Emily Dickinson        € 6,00   € 5,70        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 Poesie d'amore. Testo inglese a fr...   Poesie d'amore. Testo inglese a fronte      Emily Dickinson   Emily Dickinson        € 8,00   € 7,60        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 Poesie e lettere   Poesie e lettere      Emily Dickinson   Emily Dickinson        € 17,00   € 16,15        -5%   IN OFFERTA",,,,,,,,,,,
Il regalo del Capo D’anno – Libro di lezioni per la seconda classe elementare – Libro di lezioni per la terza classe elementare – La lanterna magica di Giannettino | Carlo Collodi | Giunti Editore,Il regalo del Capo D’anno – Libro di lezioni per la seconda classe elementare – Libro di lezioni per la terza classe elementare – La lanterna magica di Giannettino,"€28,50","€30,00",Carlo Collodi,,"€28,50","€30,00",Diminuisci quantità per Il regalo del Capo D’anno – Libro di lezioni per la seconda classe elementare – Libro di lezioni per la terza classe elementare – La lanterna magica di Giannettino,Aumenta quantità per Il regalo del Capo D’anno – Libro di lezioni per la seconda classe elementare – Libro di lezioni per la terza classe elementare – La lanterna magica di Giannettino,"I testi di Collodi qui raccolti appartengono agli ultimi anni
di vita dell’autore:  Il regalo del Capo d’Anno  (1884 e 1887);  Lezioni
per la seconda classe elementare  e  Lezioni per la terza classe elementare  (1889);  La lanterna magica di Giannettino  (1889 ma datata 1890).
Vi traspare una nuova posizione pedagogica, in parte più
lontana dai suoi capolavori, e dal  Pinocchio  (1883) soprattutto.
Sempre più la produzione per le scuole si pone al
centro, il contesto narrativo si istituzionalizza nella narrazione
collocata tra famiglia e scuola e si trama intimamente
e sempre di più di un’etica borghese assunta come regola
nell’Italia postrisorgimentale. L’educatore Collodi si rende
più conforme alle attese della società del tempo e ne veicola
i punti di vista etico-sociali più condivisi e comuni, e lo fa
ormai con significativa e precisa evidenza.
Un volume, questo VII del corpus collodiano, che ci fa riflettere
sulla ricchezza e varietà e complessità dell’opera
dello scrittore, ritmata tra forme narrative diverse, dal
giornalismo ai romanzi, al teatro e poi tra narrazioni per
l’infanzia e di altissima qualità, testi scolastici innovatori
e altri più conformati sulle attese governative, ma tutti più
o meno sempre animati da quello spirito popolare che in
vari modi lì resta presente, come un vivo e anche critico
imprinting nazionale da preservare.","Default Title - €30,00",,INIZIATIVE SPECIALI IN LIBRERIA,Cartonato con sovraccoperta,656.0,"17.0 x
    
  
    
      24.0
    
  
  cm",9788809916821.0,Carlo Collodi,Carlo Collodi,Carlo Collodi: biografia e libri in vendita | Giunti Editore,"Scopri tutti i libri di Carlo Collodi. Consulta il catalogo dell'autore, ordina online o trova una copia nella libreria più vicina a te.","Aggiungi   Sold out!                 Le avventure di Pinocchio. Edizion...   Le avventure di Pinocchio. Edizione Anniversario 1883-20...      Carlo Collodi   Carlo Collodi        € 28,00   € 26,60        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio   Le avventure di Pinocchio      Carlo Collodi   Carlo Collodi        € 9,90   € 9,41        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio   Le avventure di Pinocchio      Carlo Collodi   Carlo Collodi        € 22,00   € 20,90        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Articoli di costume   Articoli di costume      Carlo Collodi   Carlo Collodi        € 30,00   € 28,50        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio   Le avventure di Pinocchio      Carlo Collodi   Carlo Collodi        € 29,00   € 27,55        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio   Le avventure di Pinocchio      Carlo Collodi   Carlo Collodi        € 5,90   € 5,61        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio   Le avventure di Pinocchio      Carlo Collodi, Lorenzo Mattotti   Carlo Collodi, Lorenzo Mattotti        € 35,00   € 33,25        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio (ill. Mu...   Le avventure di Pinocchio (ill. Mussino)      Carlo Collodi   Carlo Collodi        € 20,00   € 19,00        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 Le avventure di Pinocchio (ill. Ne...   Le avventure di Pinocchio (ill. Nespolo)      Carlo Collodi   Carlo Collodi        € 35,00   € 33,25        -5%   IN OFFERTA   OUTLET                                         Aggiungi   Sold out!                 Pinocchio   Pinocchio      Carlo Collodi   Carlo Collodi        € 5,90   € 5,61        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio (ill. Ch...   Le avventure di Pinocchio (ill. Chiostri)      Carlo Collodi   Carlo Collodi        € 10,00   € 9,50        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio (ill. Mu...   Le avventure di Pinocchio (ill. Mussino)      Carlo Collodi   Carlo Collodi        € 5,00   € 4,75        -5%   IN OFFERTA                                         Non Disponibile   Sold out!                 Le avventure di Pinocchio   Le avventure di Pinocchio      Carlo Collodi   Carlo Collodi        € 49,00   € 46,55        -5%   IN OFFERTA   OUTLET                                         Non Disponibile   Sold out!                 I racconti delle fate - Storie all...   I racconti delle fate - Storie allegre      Carlo Collodi   Carlo Collodi        € 30,00   € 28,50        -5%   IN OFFERTA   OUTLET                                         Aggiungi   Sold out!                 Le avventure di Pinocchio + Quader...   Le avventure di Pinocchio + Quaderno operativo      Carlo Collodi   Carlo Collodi        € 7,90   € 7,51        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio   Le avventure di Pinocchio      Carlo Collodi   Carlo Collodi        € 7,90   € 7,51        -5%   IN OFFERTA   OUTLET                                         Aggiungi   Sold out!                 Le avventure di Pinocchio   Le avventure di Pinocchio      Carlo Collodi   Carlo Collodi        € 30,00   € 28,50        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio letto da...   Le avventure di Pinocchio letto da Paolo Poli + CD      Carlo Collodi   Carlo Collodi        € 12,00   € 11,40        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Un romanzo in vapore. Da Firenze a...   Un romanzo in vapore. Da Firenze a Livorno - I misteri d...      Carlo Collodi   Carlo Collodi        € 35,00   € 33,25        -5%   IN OFFERTA                                         Aggiungi   Sold out!                 Le avventure di Pinocchio (ill. Mu...   Le avventure di Pinocchio (ill. Mussino) (lusso)      Carlo Collodi   Carlo Collodi        € 26,50   € 25,18        -5%   IN OFFERTA",Il dottore di Varsavia,Elisabeth Gifford,"€9,41","€9,90",Where I end and you begin,Preston Norton,"€13,30","€14,00",Lettere a una fanciulla che non risponde,"€17,10","€18,00"
Goebbels | Lionel Richard | Giunti Editore,Goebbels,"€16,06","€16,90",Lionel Richard,,"€16,06","€16,90",Diminuisci quantità per Goebbels::Ritratto di un manipolatore,Aumenta quantità per Goebbels::Ritratto di un manipolatore,"Una biografia che ricostruisce, contro ogni possibile mistificazione, la personalità di Joseph Goebbels, il gerarca nazista che insieme a Himmler ricoprì la più alta carica del Terzo Reich dopo Hitler, tristemente noto soprattutto come ministro per l’istruzione pubblica e la propaganda dal marzo 1933 fino alla caduta del nazismo. “Storpio nel corpo e nell’anima”, come lo definì Thomas Mann, fu lui il responsabile della feroce propaganda che accompagnò l’ascesa del regime hitleriano, comprese la campagna contro la cultura “degenerata” e la giustificazione ideologica del violento, crescente antisemitismo.
Ma chi era davvero Goebbels? Attingendo direttamente alle fonti, a partire dal suo diario personale, dalle opere letterarie fino ai discorsi radiofonici e ai numerosi, atroci film che aveva ideato (  L’ebreo errante  su tutti), queste pagine tratteggiano il polemista spietato, il manipolatore consapevole e cinico, il virtuoso dell’astuzia e della seduzione. Capitolo dopo capitolo, emerge il modo sinistro di quest’uomo di costruire la fedeltà a un regime, di alimentarla, mantenerla e seguirla coerentemente, fino all’ultimo, folle sacrificio che coinvolse anche la sua numerosa famiglia.","Default Title - €16,90",,STORIA E STORIE,Brossura con bandelle,264.0,"14.0 x
    
  
    
      21.5
    
  
  cm",9788809971677.0,Lionel Richard,Lionel Richard,Lionel Richard: biografia e libri in vendita | Giunti Editore,"Scopri tutti i libri di Lionel Richard. Consulta il catalogo dell'autore, ordina online o trova una copia nella libreria più vicina a te.",,Fascismo e populismo - COPIA AUTOGRAFATA,Antonio Scurati,"€11,40","€12,00",Madre patria - COPIA AUTOGRAFATA,Vittorio Emanuele Parsi,"€16,15","€17,00",Il cammino di un popolo,"€38,00","€40,00"
Canti della gratitudine - COPIA AUTOGRAFATA | Franco Arminio | Giunti Editore,Canti della gratitudine - COPIA AUTOGRAFATA,"€17,10","€18,00",Franco Arminio,Bompiani,"€17,10","€18,00",Diminuisci quantità per Canti della gratitudine - COPIA AUTOGRAFATA,Aumenta quantità per Canti della gratitudine - COPIA AUTOGRAFATA,"Fin dalle prime righe, questo libro ci invita
a un gesto semplice e prezioso: fare buon uso
delle parole.
Le parole che pronunciamo, scriviamo, leggiamo
ogni giorno sono una moltitudine, ma troppo
spesso attraversano le nostre vite senza lasciare
traccia. Franco Arminio allora si inoltra nel
silenzio – quello dei paesi delle aree interne
svuotati dall’emigrazione, quello delle notti in
cui siamo soli di fronte alla nostra ossessione –
e, come un rabdomante, cerca la vena in cui
ancora scorrono parole dense di significato
e di luce. I suoi versi si offrono a tutti come
occasione per aprire il cuore alla meraviglia
e alla fratellanza, cantano l’importanza
di prestare attenzione al minuscolo per sentirci
parte dell’immenso.
Il fardello della famiglia in cui siamo nati,
la fatica di amare e lasciarsi amare, l’angoscioso
orizzonte della morte che sembra chiudersi
davanti a ogni pensiero – tutto viene riscattato
dal potere della gratitudine, che illumina
i doni nascosti in ogni singolo giorno. A queste
pagine Arminio consegna il frutto di anni di
ascolto di se stesso e del mondo, la summa di ciò
che ha imparato nel suo cammino attraverso città
e paesi: la parola poetica dispiega la sua forza
trasformativa, da esperienza intima si fa
comunitaria e ci chiede di essere pronunciata
come sfida all’indifferenza, come forma
di resistenza, come il più salvifico dei contagi.","Default Title - €18,00",Bompiani,NARRATORI ITALIANI,Brossura con sovraccoperta,192.0,"15.0 x
    
  
    
      21.0
    
  
