hotel name,hotel name,confidence,grade,number of reviews,reviews count,address,date/time,date,date,hotel name,restrictions,accommodation
6,25,30,38.0,40,42,45,92,100,101,114,125,187
Hotel Renaissance - Firenze - lastminute.com,Hotel Renaissance,1 / 34,92.0,287 recensioni,287 recensioni,"Via Della Condotta 4, Firenze, Italia","mar 5 mar, 08:00 - 11:00","sab, 2 mar","mar, 5 mar",Recensioni di Hotel Renaissance,"Avrai a disposizione utili servizi come il Wi-Fi gratuito, servizi di concierge e servizi per matrimoni.",Accesso con chiavi
UNAHOTELS Trastevere Roma - Roma - lastminute.com,UNAHOTELS Trastevere Roma,1 / 32,90.0,2103 recensioni,2103 recensioni,"Via Emilio Morosini, 27, Roma, Italia","dom 3 mar, fino alle 10:00","ven, 1 mar","dom, 3 mar",Recensioni di UNAHOTELS Trastevere Roma,,
Dulcis In Fundo b&b - Roma - lastminute.com,Dulcis In Fundo b&b,1 / 29,88.0,464 recensioni,464 recensioni,"Viale di Trastevere, 141, Roma, Italia","lun 1 apr, fino alle 11:00","sab, 30 mar","lun, 1 apr",Recensioni di Dulcis In Fundo b&b,,aria condizionata
Hotel Lux - Venezia - lastminute.com,Hotel Lux,1 / 41,,3280 recensioni,3280 recensioni,"Castello, 4541, Venezia, Italia","ven 26 gen, fino alle 11:00","mer, 24 gen","ven, 26 gen",Recensioni di Hotel Lux,,aria condizionata
Historical Duomo Apartment Alba - Alba - lastminute.com,Historical Duomo Apartment Alba,1 / 60,97.0,33 recensioni,,"2 Via Alessandro Manzoni Secondo Piano, Alba, Italia","dom 10 mar, 09:30 - 10:30","ven, 8 mar","dom, 10 mar",Recensioni di Historical Duomo Apartment Alba,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Historical Duomo Apartment Alba l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",Accesso con chiavi
Casa Burelli - Montalcino - lastminute.com,Casa Burelli,1 / 30,,18 recensioni,,"Via Lapini 26, Montalcino, Italia","dom 11 feb, 10:30 - 11:00","ven, 9 feb","dom, 11 feb",Recensioni di Casa Burelli,"Siete pregati di comunicare in anticipo a Casa Burelli l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. When travelling with pets, please note that an extra charge of 20€ per pet, per stay applies.",Accesso con chiavi
P'Ost - Alba - lastminute.com,P'Ost,1 / 47,99.0,12 recensioni,,"2 Via dei Mille, Alba, Italia","dom 10 mar, 10:00 - 11:00","ven, 8 mar","dom, 10 mar",Recensioni di P'Ost,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a P'Ost l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",Aria condizionata
Bernini Palace - Firenze - lastminute.com,Bernini Palace,1 / 128,94.0,1337 recensioni,1337 recensioni,"Piazza San Firenze 29, Firenze, Italia","mar 6 feb, fino alle 12:00","dom, 4 feb","mar, 6 feb",Recensioni di Bernini Palace,"Potrai usufruire di accesso gratuito a Internet via cavo, un business center e servizio auto o limousine. È possibile usufruire di una navetta da e per l'aeroporto 24 ore su 24 a pagamento.",
House Boè - Favaro Veneto - lastminute.com,House Boè,1 / 27,88.0,,,"Via Monte Boè 39/D, Favaro Veneto, Italia",,,,Recensioni di House Boè,,Aria condizionata
Arco Antico - Alba - lastminute.com,Arco Antico,1 / 44,95.0,127 recensioni,,"Vicolo dell'Arco, 1, Alba, Italia","dom 10 mar, 07:00 - 10:30","ven, 8 mar","dom, 10 mar",Recensioni di Arco Antico,"Siete pregati di comunicare in anticipo a Arco Antico l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. La struttura non è disponibile per feste di addio al nubilato/celibato o simili. In risposta al Coronavirus (COVID-19) questa struttura ha adottato misure extra di sicurezza e igiene. Struttura gestita da un host privato",Accesso con chiavi
Chianti wood - Gaiole in Chianti - lastminute.com,Chianti wood,1 / 7,,31 recensioni,,"11 Piazza Antico Mercato, Gaiole in Chianti, Italia","dom 18 feb, 08:00 - 11:00","ven, 16 feb","dom, 18 feb",Recensioni di Chianti wood,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Chianti wood l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",Aria condizionata
Chianti chic - Gaiole in Chianti - lastminute.com,Chianti chic,1 / 20,,24 recensioni,,"11 Piazza Antico Mercato, Gaiole in Chianti, Italia","dom 18 feb, 08:00 - 11:00","ven, 16 feb","dom, 18 feb",Recensioni di Chianti chic,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Chianti chic l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",Aria condizionata
Rivetto Suites - Alba - lastminute.com,Rivetto Suites,1 / 38,97.0,158 recensioni,158 recensioni,"Via Ospedale 9/1, 12051 Alba, Italy, via Ospedale9/1, Alba, Italia","dom 7 apr, fino alle 10:30","gio, 4 apr","dom, 7 apr",Recensioni di Rivetto Suites,"Potrai usufruire di deposito bagagli, una cassetta di sicurezza presso la reception e ascensore. Il un parcheggio con posti limitati è disponibile in loco.",Accesso con chiavi
Due dei Mille. Incantevole casa in centro ad Alba - Alba - lastminute.com,Due dei Mille. Incantevole casa in centro ad Alba,1 / 13,,8 recensioni,,"2 Via dei Mille, Alba, Italia","dom 10 mar, fino alle 10:00","ven, 8 mar","dom, 10 mar",Recensioni di Due dei Mille. Incantevole casa in centro ad Alba,"This property will not accommodate hen, stag or similar parties. Managed by a private host",Accesso con chiavi
Offerta pazzesca in centro citta'! - Roma - lastminute.com,,,,2585 recensioni,2585 recensioni,Roma,"dom 11 feb, fino alle 12:00","gio, 8 feb","dom, 11 feb",Recensioni di Offerta pazzesca in centro citta'!,,
Antica Locanda Al Gambero - Venezia - lastminute.com,Antica Locanda Al Gambero,1 / 22,88.0,1312 recensioni,1312 recensioni,"Calle dei Fabbri, 4687 S.Marco, Venezia, Italia","ven 26 gen, fino alle 11:00","mer, 24 gen","ven, 26 gen",Recensioni di Antica Locanda Al Gambero,,aria condizionata
"Hotel moderno e contemporaneo in stile art-deco, vicino alla stazione Termini e a Piazza della Repubblica. - Roma - lastminute.com",,,91.0,4012 recensioni,4012 recensioni,Roma,"lun 26 feb, fino alle 12:00","ven, 23 feb","lun, 26 feb","Recensioni di Hotel moderno e contemporaneo in stile art-deco, vicino alla stazione Termini e a Piazza della Repubblica.",,aria condizionata
Podere La Chiusella - Rapolano Terme - lastminute.com,Podere La Chiusella,1 / 37,90.0,165 recensioni,165 recensioni,"Loc. Armaiolo, 64, Rapolano Terme, Italia","dom 18 feb, 08:00 - 10:30","gio, 15 feb","dom, 18 feb",Recensioni di Podere La Chiusella,"Scegli tra l'ampia gamma di servizi ricreativi disponibili, che includono una piscina stagionale all'aperto e un servizio di noleggio biciclette. In questo aparthotel potrai inoltre contare su il Wi-Fi gratuito, un'area picnic e un'area barbecue.",Accesso con chiavi
Casa S a f e r - Firenze - lastminute.com,Casa S a f e r,1 / 39,,30 recensioni,,"via dei Rustici 1A, Firenze, Italia","lun 4 mar, 10:00 - 11:00","sab, 2 mar","lun, 4 mar",Recensioni di Casa S a f e r,"This property will not accommodate hen, stag or similar parties. Please inform Casa S a f e r in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",Accesso con chiavi
Albergo San Lorenzo - Alba - lastminute.com,Albergo San Lorenzo,1 / 64,,725 recensioni,725 recensioni,"Piazza Rossetti, 6, Alba, Italia","dom 7 apr, 08:00 - 10:30","gio, 4 apr","dom, 7 apr",Recensioni di Albergo San Lorenzo,"La reception è aperta in orario limitato. Potrai usufruire di una navetta da e per l'aeroporto 24 ore su 24 a pagamento; inoltre, in loco troverai il un parcheggio gratuito.",Accesso con chiavi
Mercure Roma Piazza Bologna - Roma - lastminute.com,Mercure Roma Piazza Bologna,1 / 30,90.0,2220 recensioni,2220 recensioni,"Via Reggio Calabria 54, Roma, Italia","lun 26 feb, fino alle 12:00","ven, 23 feb","lun, 26 feb",Recensioni di Mercure Roma Piazza Bologna,,
Atelier delle Grazie - Firenze - lastminute.com,Atelier delle Grazie,,96.0,92 recensioni,,"Via del Castello D'Altafronte, Firenze, Italia","dom 28 apr, 09:00 - 11:00","ven, 26 apr","dom, 28 apr",Recensioni di Atelier delle Grazie,"Potrai usufruire di deposito bagagli, una cassetta di sicurezza presso la reception e ascensore.",
Palazzo Leopoldo Dimora Storica & Spa - Radda in Chianti - lastminute.com,Palazzo Leopoldo Dimora Storica & Spa,1 / 126,88.0,1005 recensioni,1005 recensioni,"Via Roma 33, Radda in Chianti, Italia",,"ven, 9 feb","dom, 11 feb",Recensioni di Palazzo Leopoldo Dimora Storica & Spa,"Rilassati presso la spa con servizi completi, dove ti attendono massaggi, trattamenti per il corpo e trattamenti per il viso. Se cerchi opportunità di svago, apprezzerai un centro fitness, una piscina all'aperto e una piscina coperta. Questo hotel propone, inoltre, il Wi-Fi gratuito, servizi di concierge e un servizio babysitter a pagamento. Gli ospiti potranno raggiungere le vicine attrazioni con la navetta locale (con supplemento).",Accesso a una piscina all'aperto nelle vicinanze
Lilly Rose Apartment - Alba - lastminute.com,Lilly Rose Apartment,1 / 34,92.0,35 recensioni,35 recensioni,"Via Ravina 4, Alba, Italia","dom 10 mar, 07:00 - 10:00","ven, 8 mar","dom, 10 mar",Recensioni di Lilly Rose Apartment,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a Lilly Rose Apartment l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Al check-in gli ospiti devono esibire un documento d'identità con foto e una carta di credito. Siete pregati di notare che le Richieste Speciali sono soggette a disponibilità, e potrebbero comportare l'addebito di un supplemento. Non è possibile soggiornare presso questa struttura a scopo di quarantena per Coronavirus (COVID-19). Gli arrivi dopo le 21:00 comportano un supplemento di 30 EUR. Tutte le richieste di arrivo tardivo sono soggette a conferma da parte della struttura. Struttura gestita da un host privato",Accesso con chiavi
Venice Roof Garden - 15 min da Venezia - Favaro Veneto - lastminute.com,Venice Roof Garden - 15 min da Venezia,,,,,"14 Via Gobbi, Favaro Veneto, Italia",,,,Recensioni di Venice Roof Garden - 15 min da Venezia,"This property will not accommodate hen, stag or similar parties.",Aria condizionata
"Relais Uffizi, Tailor made Hotel - Firenze - lastminute.com","Relais Uffizi, Tailor made Hotel",1 / 49,92.0,380 recensioni,380 recensioni,"Chiasso Del Buco 16, Firenze, Italia","mar 6 feb, 10:30 - 11:00","dom, 4 feb","mar, 6 feb","Recensioni di Relais Uffizi, Tailor made Hotel",Avrai a disposizone utili servizi come il Wi-Fi gratuito e servizi di concierge.,
MarcoPoloAirport-2 camere da letto-Wifi-Netflix-15' da Venezia - Venezia - lastminute.com,MarcoPoloAirport-2 camere da letto-Wifi-Netflix-15' da Venezia,1 / 28,,,,"3 Via Vercelli, Venezia, Italia",,,,Recensioni di MarcoPoloAirport-2 camere da letto-Wifi-Netflix-15' da Venezia,"La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Siete pregati di comunicare in anticipo a MarcoPoloAirport-2 camere da letto-Wifi-Netflix-15' da Venezia l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. Struttura gestita da un host privato",Aria condizionata
Hotel di lusso vicino al Vaticano - Roma - lastminute.com,,,94.0,606 recensioni,606 recensioni,Roma,"dom 21 gen, fino alle 12:00","ven, 19 gen","dom, 21 gen",Recensioni di Hotel di lusso vicino al Vaticano,,
Antico Panada - Venezia - lastminute.com,Antico Panada,1 / 17,,5464 recensioni,5464 recensioni,"San Marco 646, Venezia, Italia","ven 26 gen, fino alle 11:00","mer, 24 gen","ven, 26 gen",Recensioni di Antico Panada,,
,,,,,,,,,,,,
B&B L'Ortodellerose - Alba - lastminute.com,B&B L'Ortodellerose,1 / 48,87.0,323 recensioni,323 recensioni,"Via Cuneo, 5, Alba, Italia",,"gio, 4 apr","dom, 7 apr",Recensioni di B&B L'Ortodellerose,"Potrai usufruire di deposito bagagli, un servizio lavanderia e una cassetta di sicurezza presso la reception. Il un parcheggio (a pagamento) è disponibile in loco.",
Eco Venice - Favaro Veneto - lastminute.com,Eco Venice,1 / 93,93.0,84 recensioni,84 recensioni,"Via Sant'Andrea 6, Favaro Veneto, Italia","lun 22 gen, 04:00 - 10:00",,,Recensioni di Eco Venice,"Siete pregati di comunicare in anticipo a Eco Venice l'orario in cui prevedete di arrivare. Potrete inserire questa informazione nella sezione Richieste Speciali al momento della prenotazione, o contattare la struttura utilizzando i recapiti riportati nella conferma della prenotazione. La struttura non è disponibile per feste di addio al nubilato/celibato o simili. Al check-in gli ospiti devono esibire un documento d'identità con foto e una carta di credito. Siete pregati di notare che le Richieste Speciali sono soggette a disponibilità, e potrebbero comportare l'addebito di un supplemento. In conformità con le indicazioni del governo per ridurre la diffusione del Coronavirus (COVID-19), questa struttura non accetta ospiti da specifici Paesi durante il periodo di validità di tali direttive. In risposta al Coronavirus (COVID-19) questa struttura ha adottato misure extra di sicurezza e igiene. A causa del Coronavirus (COVID-19), la struttura applica rigide misure di distanziamento fisico. A causa del Coronavirus (COVID-19) è obbligatorio indossare la mascherina in tutte le aree comuni interne. A causa del Coronavirus (COVID-19), ti chiediamo di assicurarti di prenotare questa struttura in conformità con le linee guida stabilite dal governo della destinazione, per esempio relativamente (ma non solo) al motivo del viaggio e al numero massimo consentito di persone per gruppo. Non è possibile soggiornare presso questa struttura a scopo di quarantena per Coronavirus (COVID-19). Per soggiornare in questa struttura è necessario mostrare almeno uno dei seguenti documenti: attestato di vaccinazione completa contro il Coronavirus (Covid-19), tampone molecolare recente negativo al Coronavirus, prova recente di avvenuta guarigione dal Covid-19.",
Hotel Diana - Venezia - lastminute.com,Hotel Diana,1 / 5,,2189 recensioni,2189 recensioni,"Calle Specchieri, 449, Venezia, Italia","ven 26 gen, fino alle 11:00","mer, 24 gen","ven, 26 gen",Recensioni di Hotel Diana,,aria condizionata
Hotel Villa Cesi - Impruneta - lastminute.com,Hotel Villa Cesi,1 / 41,87.0,311 recensioni,311 recensioni,"via delle terre bianche 1, Impruneta, Italia","dom 18 feb, 00:00 - 11:00","ven, 16 feb","dom, 18 feb",Recensioni di Hotel Villa Cesi,"Potrai usufruire di un business center, una reception aperta 24 ore su 24 e deposito bagagli. Questo hotel è ideale per l'organizzazione di eventi, grazie a un centro congressi e sale riunioni. Il un parcheggio gratuito è disponibile in loco.",Accesso con chiavi
Casa Dellatorre - Alba - lastminute.com,Casa Dellatorre,1 / 16,88.0,31 recensioni,31 recensioni,"VIA ELVIO PERTINACE 20, Alba, Italia","dom 7 apr, 08:30 - 11:00","gio, 4 apr","dom, 7 apr",Recensioni di Casa Dellatorre,"Le opportunità di svago non mancano: avrai a disposizione un servizio di noleggio biciclette, oltre a il Wi-Fi gratuito e una parete di piante vere. In questo affittacamere potrai inoltre contare su l'assistenza per la prenotazione di tour e biglietti e un parcheggio per biciclette.",Accesso con chiavi
"Casa 94 - Bright apartment, 15min from Venice - Favaro Veneto - lastminute.com","Casa 94 - Bright apartment, 15min from Venice",1 / 40,94.0,5 recensioni,,"94 Via Altinia, Favaro Veneto, Italia",,,,"Recensioni di Casa 94 - Bright apartment, 15min from Venice","This property will not accommodate hen, stag or similar parties. Managed by a private host",Accesso con chiavi
Hotel Flavia - Roma - lastminute.com,Hotel Flavia,1 / 38,,2514 recensioni,2514 recensioni,"Via Flavia 40, Roma, Italia","ven 26 gen, fino alle 11:00","mer, 24 gen","ven, 26 gen",Recensioni di Hotel Flavia,,aria condizionata
